,100,200,300,400,500,600,700,800,900,1000
2000,22376,22376,22376,22376,22376,22376,22376,22376,22376,22376
4000,23540,23540,23540,23540,23540,23540,23540,23540,23540,23540
6000,24912,24912,24912,24912,24912,24912,24912,24912,24912,24912
8000,26012,26012,26012,26012,26012,26012,26012,26012,26012,26012
10000,27380,27380,27380,27380,27380,27380,27380,27380,27380,27380
12000,28684,28684,28684,28684,28684,28684,28684,28684,28684,28684
14000,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800
16000,30908,30908,30908,30908,30908,30908,30908,30908,30908,30908
18000,32608,32608,32608,32608,32608,32608,32608,32608,32608,32608
20000,33720,33720,33720,33720,33720,33720,33720,33720,33720,33720